,index
20131231,1000.0
20140102,999.2328251989412
20140103,997.3270527574224
20140106,995.9160652501332
20140107,996.0215087097456
20140108,998.4290826362716
20140109,999.1306531302952
20140110,997.8216342708304
20140113,997.5826661750546
20140114,1000.6079933407408
20140115,1001.3211865981376
20140116,1002.6529582448968
20140117,1001.8081758301828
20140120,1002.2504983464058
20140121,1006.7346833515056
20140122,1011.2401750921985
20140123,1012.5688392293108
20140124,1015.054158361087
20140127,1018.2177704045698
20140128,1018.0265150486756
20140129,1018.0314408956018
20140130,1016.7714854249604
20140207,1021.0047476883072
20140210,1025.957706529669
20140211,1026.3493601359175
20140212,1027.7259164056022
20140213,1027.7040277236565
20140214,1029.235630485815
20140217,1030.746933086136
20140218,1028.9411928591203
20140219,1030.2289514288775
20140220,1030.114711130782
20140221,1029.7994199400662
20140224,1030.0560388856752
20140225,1029.842392790628
20140226,1031.7261462243591
20140227,1032.9139322287508
20140228,1033.8422851755504
20140303,1034.9324563861423
20140304,1031.9985210758396
20140305,1031.1135911059089
20140306,1030.3233664329098
20140307,1030.2637583688863
20140310,1027.8351260652505
20140311,1029.5097429091927
20140312,1030.1041147489727
20140313,1032.2333434052102
20140314,1031.900261311146
20140317,1033.5762895981911
20140318,1035.3029198589395
20140319,1034.5940644600828
20140320,1033.7580067232946
20140321,1036.952418644824
20140324,1038.440458353938
20140325,1039.524597246885
20140326,1040.955750455564
20140327,1041.2100358786556
20140328,1041.0034981935148
20140331,1040.89121894988
20140401,1043.8260584464906
20140402,1044.8457983036824
20140403,1044.086315196286
20140404,1045.229426454134
20140408,1047.2070041761149
20140409,1047.324831317396
20140410,1045.762028375398
20140411,1045.451979741538
20140414,1046.0655480444002
20140415,1045.858607964091
20140416,1046.5087414856796
20140417,1048.8705435914328
20140418,1049.8936555266794
20140421,1048.9128265783431
20140422,1049.4183374927102
20140423,1049.035162049914
20140424,1048.4691733421855
20140425,1047.7845664725671
20140428,1049.0423675238353
20140429,1050.541379910134
20140430,1051.4533917674528
20140505,1052.3098187224607
20140506,1051.914415340053
20140507,1052.236199860778
20140508,1053.8313571851768
20140509,1055.5611186688836
20140512,1058.364708939553
20140513,1058.4528069931448
20140514,1058.437693292963
20140515,1059.1406839814324
20140516,1056.3777538171992
20140519,1056.069131531146
20140520,1057.2799651682938
20140521,1059.628970399574
20140522,1062.00991894164
20140523,1063.768938820358
20140526,1065.789594085713
20140527,1063.580490275601
20140528,1066.213196586012
20140529,1067.6225852584414
20140530,1068.5861756752674
20140603,1071.671081883712
20140604,1073.2154557216331
20140605,1073.7621955015154
20140606,1073.1328985490418
20140609,1075.4466446733634
20140610,1078.4849062175808
20140611,1079.4393271917434
20140612,1080.287611699539
20140613,1081.991232566638
20140616,1084.4305414989233
20140617,1082.4149886344064
20140618,1081.609289978663
20140619,1079.0790038578089
20140620,1080.716748104582
20140623,1081.278907573178
20140624,1081.3015413827368
20140625,1080.900239651414
20140626,1082.065382336825
20140627,1083.8310283834055
20140630,1085.6682748448984
20140701,1084.3805104935852
20140702,1084.1692658468503
20140703,1082.9296837510697
20140704,1080.9714338329752
20140707,1081.484547888398
20140708,1081.7615540800082
20140709,1078.10657860402
20140710,1078.559506823643
20140711,1079.3222569863888
20140714,1081.014230483913
20140715,1080.6717441523165
20140716,1080.2216363753507
20140717,1076.441611358694
20140718,1072.120481674472
20140721,1072.49751034136
20140722,1075.572547674724
20140723,1075.0576121704762
20140724,1078.2260738336695
20140725,1079.496469037861
20140728,1085.5758284921276
20140729,1087.41585599182
20140730,1086.1549897710588
20140731,1086.481945971475
20140801,1085.4130754521784
20140804,1089.7235737296933
20140805,1088.9843408893728
20140806,1088.7990137571644
20140807,1087.419339238385
20140808,1087.587693674665
20140811,1089.622864454618
20140812,1088.1754934230862
20140813,1087.698945593978
20140814,1087.1468125740953
20140815,1089.814852921952
20140818,1090.8078748737184
20140819,1090.7428092006512
20140820,1089.5333456844598
20140821,1090.078731528453
20140822,1090.900860274842
20140825,1089.831212664369
20140826,1088.7338665031973
20140827,1089.3410272385863
20140828,1088.8052555455397
20140829,1089.6818847965662
20140901,1090.9811466969925
20140902,1093.7117782775213
20140903,1093.7912859744506
20140904,1094.2059673353865
20140905,1094.462878841049
20140909,1094.0865138460656
20140910,1092.4869085242335
20140911,1091.0180748171456
20140912,1092.4393886219773
20140915,1093.5637740505672
20140916,1091.2664026498314
20140917,1094.047730917325
20140918,1093.7260795821617
20140919,1095.5193633247684
20140922,1091.0294909295314
20140923,1092.9629723504074
20140924,1096.362454470416
20140925,1095.72378704456
20140926,1095.3055434643882
20140929,1097.1216830004948
20140930,1098.030579234589
20141008,1100.1499971818237
20141009,1101.7319840912637
20141010,1098.4594667653
20141013,1100.3182965866838
20141014,1104.1004877095918
20141015,1107.8293424183366
20141016,1109.8721635724153
20141017,1109.7619772946855
20141020,1116.7733992695155
20141021,1119.277928908812
20141022,1119.328362393019
20141023,1118.4887382343395
20141024,1120.4837813404674
20141027,1119.913944434266
20141028,1124.5154805209002
20141029,1128.4271226455592
20141030,1130.4741374311373
20141031,1132.380223085984
20141103,1132.2465000564266
20141104,1132.8372399560835
20141105,1133.9191720557171
20141106,1135.89898075117
20141107,1138.3436920962731
20141110,1143.8583800296235
20141111,1141.7683232274671
20141112,1143.7622941130128
20141113,1142.327396718216
20141114,1135.908983320544
20141117,1134.0136935333069
20141118,1133.941232167237
20141119,1132.7712627235803
20141120,1131.7504820238532
20141121,1135.0394330660722
20141124,1143.7159729740515
20141125,1144.792128769879
20141126,1146.3406566843148
20141127,1148.466408963929
20141128,1149.0341403210386
20141201,1147.6180696338115
20141202,1152.0434454328858
20141203,1150.5573276640598
20141204,1153.53538582978
20141205,1149.8767164293934
20141208,1155.5818821917069
20141209,1145.6437910101436
20141210,1154.6481583767725
20141211,1151.8940353780845
20141212,1153.6178246913564
20141215,1154.6788766951015
20141216,1156.0843944921685
20141217,1158.084644261677
20141218,1158.9532961221023
20141219,1159.800426938344
20141222,1158.2990132961102
20141223,1156.8681343005032
20141224,1156.049118605798
20141225,1157.9161493921174
20141226,1160.7823937664316
20141229,1161.3446845352205
20141230,1161.1464055027045
20141231,1163.4775764879962
20150105,1164.3712195939474
20150106,1164.8826744683493
20150107,1164.7978642042297
20150108,1163.0721472527505
20150109,1160.714612786035
20150112,1158.589570067178
20150113,1158.945550652273
20150114,1159.4120216743145
20150115,1164.4888529058228
20150116,1166.578209267443
20150119,1159.8361404946909
20150120,1160.9005193169278
20150121,1166.732970407165
20150122,1168.0454006259663
20150123,1167.0476784217522
20150126,1168.0103983885758
20150127,1167.141393437518
20150128,1165.7322268363887
20150129,1164.138278398179
20150130,1162.4887606798334
20150202,1162.353962901857
20150203,1166.9370740371246
20150204,1166.7839562731072
20150205,1166.3602697580627
20150206,1166.3963248879488
20150209,1167.6089190771324
20150210,1169.778072967474
20150211,1172.835138622337
20150212,1174.7490942760976
20150213,1179.4125894391984
20150216,1181.5886569680797
20150217,1183.3469747820868
20150225,1183.3048051905723
20150226,1185.769971865971
20150227,1186.4053201642257
20150302,1188.3898353793654
20150303,1184.397896432788
20150304,1184.936639328491
20150305,1181.1193950906345
20150306,1180.1422818310195
20150309,1180.879978541157
20150310,1181.128697134227
20150311,1183.1024403155632
20150312,1187.8193904902173
20150313,1185.6571110487664
20150316,1185.759042992804
20150317,1188.0278875024867
20150318,1186.713513491237
20150319,1187.081989209981
20150320,1189.5558868573669
20150323,1193.8070808684754
20150324,1195.1117502931922
20150325,1194.117259186097
20150326,1191.846715048515
20150327,1192.503292826373
20150330,1193.232052049039
20150331,1190.391367356157
20150401,1195.893286899576
20150402,1197.704881128027
20150403,1195.3405268669924
20150407,1196.786318273474
20150408,1193.469404127094
20150409,1191.1515085694882
20150410,1192.9186401745742
20150413,1198.0612587188025
20150414,1197.9743537509178
20150415,1198.0319220218605
20150416,1202.136964447202
20150417,1205.103101093345
20150420,1208.750725859747
20150421,1212.6275419881076
20150422,1214.3731492274724
20150423,1213.667676364715
20150424,1213.373411971979
20150427,1220.4906512269956
20150428,1217.8860553153645
20150429,1218.732897376977
20150430,1221.5517572207589
20150504,1219.9041308767426
20150505,1216.850116001047
20150506,1213.7324151816968
20150507,1211.629613381137
20150508,1213.362016580904
20150511,1216.37826645485
20150512,1216.3331024613208
20150513,1220.2217691289527
20150514,1225.978159271532
20150515,1228.3049291983014
20150518,1228.5599395527045
20150519,1227.713627859515
20150520,1226.2752381089736
20150521,1229.38843648357
20150522,1231.159363418314
20150525,1234.7037266920456
20150526,1234.287517374373
20150527,1234.3059298002825
20150528,1229.1859585691093
20150529,1228.3285767316058
20150601,1231.7024498179244
20150602,1235.2025876476048
20150603,1235.9204025771462
20150604,1234.1408474030447
20150605,1236.4371072860752
20150608,1238.4676670588713
20150609,1236.754036606049
20150610,1240.3986744162355
20150611,1238.232135704419
20150612,1235.8000260427916
20150615,1236.2124316822317
20150616,1233.9469541170631
20150617,1233.9138344607047
20150618,1232.798177230771
20150619,1229.412567660769
20150623,1229.8127151055728
20150624,1232.9357223257357
20150625,1230.2537146107816
20150626,1228.0333172011187
20150629,1226.4699726183137
20150630,1225.932805267504
20150701,1227.623335682432
20150702,1228.704896794245
20150703,1229.060488008345
20150706,1226.8058274183663
20150707,1227.3519336970862
20150708,1223.6208304304962
20150709,1226.739933980905
20150710,1226.7495482352704
20150713,1226.936631314342
20150714,1225.757185127232
20150715,1227.0314564660646
20150716,1227.448458352613
20150717,1227.1994176882265
20150720,1226.874696911155
20150721,1226.8761263936694
20150722,1227.1535429656196
20150723,1226.1162562256966
20150724,1224.4358223066115
20150727,1224.105904625735
20150728,1225.0385112202068
20150729,1227.2431386702533
20150730,1226.5025332053406
20150731,1225.3158618149944
20150803,1224.797318374012
20150804,1224.7538566510184
20150805,1226.0030954730846
20150806,1226.398504456143
20150807,1227.3276942510586
20150810,1228.1273038318905
20150811,1227.264240290123
20150812,1228.4700254658471
20150813,1228.092364943793
20150814,1228.19060935411
20150817,1225.6923069087088
20150818,1224.975286833189
20150819,1223.8722636570606
20150820,1223.5798459604175
20150821,1224.3781125010212
20150824,1222.9094807603062
20150825,1224.2592520602325
20150826,1225.641122958003
20150827,1229.5431785696253
20150828,1230.0582145444594
20150831,1231.7160475894957
20150901,1232.8184238783283
20150902,1231.1961890072084
20150907,1228.9835075766046
20150908,1228.191449434033
20150909,1229.8701846962042
20150910,1231.1383459057922
20150911,1230.4045531359795
20150914,1230.6060823629564
20150915,1231.273329774048
20150916,1231.642096345642
20150917,1230.0294234646326
20150918,1229.539862938802
20150921,1229.178680589573
20150922,1227.5499140090994
20150923,1227.1308107464426
20150924,1227.2896214673394
20150925,1227.7956045987776
20150928,1227.6905314168685
20150929,1227.0520988854703
20150930,1229.132528859557
20151008,1231.5816478998015
20151009,1237.929557293178
20151012,1241.1595681628994
20151013,1241.485414946088
20151014,1241.2822904130835
20151015,1242.188799354654
20151016,1238.9494191543934
20151019,1237.8197278133082
20151020,1242.3497783782705
20151021,1240.2201233551318
20151022,1242.4624685363888
20151023,1242.5535293920111
20151026,1241.6297253058324
20151027,1244.6753431784746
20151028,1242.1782278390906
20151029,1239.4474647986387
20151030,1238.941436193119
20151102,1238.3367209019505
20151103,1236.3027563265812
20151104,1237.7695324475492
20151105,1238.0272381923048
20151106,1237.3421052588164
20151109,1233.3672265470443
20151110,1234.0219933034384
20151111,1235.230432086402
20151112,1234.8348664173193
20151113,1232.8801101890274
20151116,1233.7194820607267
20151117,1233.0222365796706
20151118,1230.619107202854
